Xelaev18005145m|bst1.L
Xelaev18005146m|cd38.L
Xelaev18005147m|fgfbp1.L
Xelaev18005148m|fgfbp2.L
Xelaev18005149m|prom1.L
Xelaev18005150m|tapt1.L
Xelaev18005151m|Xelaev18005151m.g
Xelaev18005152m|Xetrov90000452m.L
Xelaev18005153m|qdpr.L
Xelaev18005154m|clrn2.L
Xelaev18005156m|lap3.L
Xelaev18005157m|Xelaev18005157m.g
Xelaev18005158m|Xelaev18005158m.g
Xelaev18005159m|Xelaev18005159m.g
Xelaev18005160m|Xelaev18005160m.g
Xelaev18005161m|Xelaev18005161m.g
Xelaev18005162m|LOC100488322.L
Xelaev18005163m|LOC101733347.L
Xelaev18005164m|ncapg.L
Xelaev18005165m|lcorl.L
Xelaev18005166m|slit2.L
Xelaev18005167m|pacrgl.L
Xelaev18005168m|kcnip4.L
Xelaev18005170m|adgra3.L
Xelaev18005171m|gba3.L
Xelaev18005172m|Xelaev18005172m.g
Xelaev18005173m|ppargc1a.L
Xelaev18005175m|dhx15.L
Xelaev18005176m|sod3.L
Xelaev18005177m|ccdc149.L
Xelaev18005178m|Xelaev18005178m.g
Xelaev18005179m|lgi2.L
Xelaev18005180m|sepsecs.L
Xelaev18005181m|pi4k2b.L
Xelaev18005182m|anapc4.L
Xelaev18005184m|slc34a2.L
Xelaev18005186m|sel1l3.L
Xelaev18005187m|smim20.L
Xelaev18005188m|rbpj.L
Xelaev18005189m|Xelaev18005189m.g
Xelaev18005190m|cckar.L
Xelaev18005191m|tbc1d19.L
Xelaev18005192m|stim2.L
Xelaev18005193m|pcdh7.L
Xelaev18005194m|Xelaev18005194m.g
Xelaev18005195m|LOC101731735.L
Xelaev18005196m|Xelaev18005196m.g
Xelaev18005197m|Xelaev18005197m.g
Xelaev18005198m|arap2.L
Xelaev18005199m|dthd1.L
Xelaev18005200m|Xelaev18005200m.g
Xelaev18005201m|nwd2.L
Xelaev18005202m|LOC100493503-like.L
Xelaev18005203m|rell1.L
Xelaev18005204m|pgm2.L
Xelaev18005205m|tbc1d1.L
Xelaev18005207m|klf3.L
Xelaev18005208m|tlr1.L
Xelaev18005209m|tlr6.L
Xelaev18005210m|Xelaev18005210m.g
Xelaev18005211m|fam114a1.L
Xelaev18005212m|klhl5.L
Xelaev18005213m|Xelaev18005213m.g
Xelaev18005214m|wdr19.L
Xelaev18005215m|rfc1.L
Xelaev18005216m|klb.L
Xelaev18005217m|rpl9.L
Xelaev18005218m|lias.L
Xelaev18005219m|ugdh.L
Xelaev18005221m|smim14.L
Xelaev18005222m|ube2k.L
Xelaev18005223m|pds5a.L
Xelaev18005224m|n4bp2.L
Xelaev18005225m|Xelaev18005225m.g
Xelaev18005226m|rhoh.L
Xelaev18005227m|Xelaev18005227m.g
Xelaev18005229m|chrna9.L
Xelaev18005230m|Xelaev18005230m.g
Xelaev18005231m|rbm47.L
Xelaev18005233m|nsun7.L
Xelaev18005234m|apbb2.L
Xelaev18005235m|Xelaev18005235m.g
Xelaev18005236m|limch1.L
Xelaev18005237m|phox2b.L
Xelaev18005238m|tmem33.L
Xelaev18005239m|slc30a9.L
Xelaev18005240m|Xelaev18005240m.g
Xelaev18005241m|bend4.L
Xelaev18005242m|shisa3.L
Xelaev18005243m|atp8a1.L
Xelaev18005244m|grxcr1.L
Xelaev18005245m|kctd8.L
Xelaev18005246m|yipf7.L
Xelaev18005247m|gnpda2.L
Xelaev18005248m|guf1.L
Xelaev18005249m|gabra2.L
Xelaev18005251m|gabrb1-like.L
Xelaev18005252m|gabrb1.L
Xelaev18005253m|commd8.L
Xelaev18005254m|Xelaev18005254m.g
